stage_surcharge_m,dem_elevation_m,dem_slope_deg,hand_m,dist_river_km,rain_24h_mm,target_depth_m
2.45,6.18,4.72,1.69,5.35,94.72,2.39
1.01,42.67,3.46,10.15,1.65,29.3,0.04
0.13,42.25,2.39,13.37,10.98,158.31,0.07
1.78,34.22,0.82,2.85,11.94,236.78,0.03
1.71,29.65,2.57,12.96,3.79,45.26,0.02
2.67,38.46,2.32,0.96,2.14,123.14,3.7
3.03,4.51,3.94,10.07,7.96,62.78,0.49
1.24,7.14,2.18,11.91,3.2,61.28,0.08
1.57,15.64,1.73,6.78,5.68,208.0,0.55
1.65,37.8,0.63,3.22,11.68,72.04,0.0
1.13,22.31,0.42,13.89,3.37,61.27,0.06
2.6,23.65,2.31,0.5,12.11,107.84,0.06
1.83,11.86,1.86,8.42,10.14,30.16,0.03
3.2,29.88,2.87,5.72,3.37,36.48,2.39
2.28,40.18,3.62,7.02,7.94,172.11,0.94
0.74,16.17,0.39,8.14,9.25,132.27,0.0
0.58,28.62,2.58,8.11,3.08,196.62,0.0
1.3,16.27,4.34,3.21,2.26,23.2,0.09
1.21,36.09,2.38,10.26,8.01,68.74,0.0
1.42,22.42,2.7,0.48,10.44,386.87,0.0
0.64,16.6,2.54,0.51,7.03,46.56,0.36
3.42,20.06,2.07,7.28,1.14,20.92,2.23
0.51,5.92,0.73,8.22,13.89,83.32,0.02
2.28,39.24,0.81,4.27,10.45,35.54,0.02
0.05,43.2,1.06,8.36,9.36,20.41,0.04
1.42,22.53,4.0,7.84,9.69,252.92,0.0
1.08,11.52,1.52,5.37,6.04,399.83,1.04
1.34,30.58,4.75,9.85,14.77,72.7,0.04
1.74,21.45,4.09,14.38,2.08,134.66,0.02
2.1,12.85,3.49,7.46,11.11,199.93,0.0
2.04,3.65,3.66,11.83,6.37,94.79,0.01
2.21,40.26,0.43,3.86,13.23,2.91,0.0
2.96,36.26,2.93,11.48,10.79,12.25,0.0
3.1,37.65,4.72,9.8,8.48,6.57,0.0
2.58,20.91,0.39,9.67,14.07,0.79,0.08
0.28,34.39,1.6,13.42,13.7,39.63,0.0
3.36,26.99,0.45,3.65,0.88,34.55,3.82
3.32,18.12,2.93,5.65,2.97,32.43,2.52
2.49,38.24,0.76,1.43,10.17,7.77,0.0
1.81,44.95,2.5,10.95,13.84,88.36,0.02
0.88,40.67,3.66,12.69,6.51,34.16,0.0
2.65,35.38,0.99,6.21,0.67,110.28,2.13
3.07,34.14,3.83,5.48,9.69,0.72,0.0
2.33,29.96,0.49,9.95,3.0,130.91,0.47
2.2,38.71,0.92,1.32,8.33,376.95,0.0
0.68,23.2,1.54,4.55,5.83,104.29,0.0
1.25,9.81,4.02,5.62,8.41,129.42,0.02
2.53,35.03,4.28,7.88,13.99,296.57,0.05
0.06,41.54,1.26,7.25,7.34,27.62,0.01
2.24,16.68,0.66,3.29,0.61,562.99,4.39
2.68,35.67,4.27,8.2,8.76,153.14,0.0
1.17,13.77,3.32,13.9,4.95,117.65,0.0
0.27,42.53,0.96,0.6,11.69,44.36,0.0
2.87,31.39,2.88,10.27,7.1,54.14,0.41
0.5,26.48,4.39,9.45,11.15,122.65,0.0
1.3,35.53,0.53,13.88,13.64,92.35,0.0
2.48,36.97,0.6,9.75,5.5,79.82,0.53
2.86,40.37,1.51,9.45,14.84,10.12,0.02
3.02,40.75,3.33,11.59,2.33,40.48,0.0
1.86,4.27,1.05,4.16,9.69,65.27,0.0
1.67,7.29,4.12,9.02,0.62,34.42,0.0
2.97,37.52,3.8,7.89,3.27,21.14,1.02
1.97,42.68,2.89,6.69,9.54,9.97,0.03
2.03,15.23,0.76,1.38,0.79,35.46,2.53
1.52,2.37,4.94,4.53,1.62,78.28,0.05
1.3,15.88,2.55,4.34,4.44,7.58,0.0
1.68,18.46,2.37,10.92,8.68,264.2,0.08
1.28,34.72,4.98,13.83,0.34,129.24,0.08
1.2,4.05,4.35,3.62,7.29,96.36,0.01
3.48,11.14,2.39,1.3,9.42,22.89,0.0
1.18,40.44,2.21,15.0,6.1,70.07,0.05
0.9,8.66,0.66,10.43,1.11,56.1,0.01
1.24,34.65,4.65,13.32,9.2,413.73,0.03
2.07,17.54,4.25,2.33,9.13,106.65,0.0
3.19,30.49,1.69,12.05,7.64,101.92,0.63
2.76,5.18,3.82,12.24,10.43,121.1,0.0
2.95,14.32,3.86,2.44,3.2,10.68,2.85
3.01,20.27,1.29,2.59,10.21,1.43,0.0
3.22,38.86,3.15,4.57,2.51,107.86,3.03
0.82,26.23,1.42,3.41,5.95,7.53,0.0
1.6,3.94,3.99,14.64,1.11,11.34,0.0
1.35,36.48,0.94,5.57,12.3,119.45,0.0
1.34,4.34,3.41,11.47,8.12,36.58,0.03
2.28,42.18,1.76,12.11,14.57,62.95,0.03
1.41,11.1,0.37,5.91,14.14,301.97,0.04
2.16,22.98,0.79,10.3,14.98,38.11,0.0
1.34,5.11,3.34,1.8,1.61,17.63,0.84
1.09,26.15,1.35,6.08,9.14,7.41,0.0
1.24,23.38,3.23,14.52,6.17,13.28,0.0
2.81,19.64,2.19,2.69,8.04,4.95,0.01
2.1,3.53,3.53,5.91,4.7,7.42,0.4
3.41,39.79,2.57,11.9,0.82,43.89,0.63
2.91,36.51,1.68,10.05,10.65,39.35,0.03
1.7,29.22,0.9,9.55,14.49,117.62,0.0
0.85,26.61,1.84,12.83,8.03,138.13,0.0
2.36,31.88,3.25,0.63,5.01,144.89,3.24
2.54,8.19,3.75,11.61,14.08,83.26,0.05
1.62,42.1,0.97,13.26,5.53,7.33,0.0
0.8,14.24,3.39,0.44,13.73,143.43,0.0
1.95,30.23,1.06,8.47,12.85,43.9,0.0
0.89,28.09,1.26,5.36,7.98,10.71,0.0
3.29,29.37,2.75,0.95,10.19,132.72,0.0
2.2,39.79,1.59,6.38,10.53,50.41,0.0
1.02,14.72,3.38,9.73,9.65,24.95,0.08
0.76,34.2,4.79,13.8,2.5,198.51,0.03
2.51,27.73,0.91,9.38,10.42,217.68,0.06
2.48,5.27,2.94,12.88,0.15,26.66,0.0
2.09,19.81,4.63,2.0,10.68,52.11,0.0
2.15,38.03,1.05,3.32,8.37,87.8,0.02
2.11,15.56,1.96,14.56,3.97,90.5,0.09
1.26,22.74,0.79,13.33,12.08,4.19,0.0
3.28,23.01,3.28,3.68,6.14,59.41,3.22
1.68,28.57,3.41,9.39,7.34,303.12,0.0
0.07,40.01,3.39,5.57,0.51,30.25,0.0
1.22,9.46,2.8,7.14,6.08,222.09,0.0
0.46,23.7,3.78,12.94,2.59,243.68,0.0
1.27,20.24,0.37,11.09,4.21,29.67,0.0
2.13,14.72,4.8,3.73,3.86,131.51,1.4
0.08,41.54,1.27,4.88,0.79,17.5,0.0
3.05,2.35,0.78,4.49,6.96,106.78,3.23
2.14,7.25,4.72,11.75,7.89,105.64,0.03
1.03,33.53,4.19,7.45,8.61,33.1,0.0
1.09,13.33,3.87,14.27,6.99,133.57,0.06
1.63,33.1,0.7,12.29,13.06,204.42,0.0
0.87,37.79,4.08,3.33,0.66,35.96,0.02
0.02,12.95,3.12,11.83,9.25,21.16,0.02
0.09,10.25,3.71,7.69,13.01,9.54,0.08
1.25,8.25,4.89,3.95,0.71,77.06,0.0
0.43,10.6,1.13,5.58,7.49,291.34,0.02
0.08,13.49,2.62,14.59,8.88,185.14,0.0
3.01,39.36,3.82,7.36,2.94,66.86,1.52
0.96,35.11,2.28,10.85,3.86,59.23,0.0
1.76,2.08,0.46,7.26,11.81,24.08,0.02
0.63,39.59,0.73,5.7,8.55,18.59,0.08
0.16,5.39,3.09,11.99,4.81,79.7,0.0
2.61,30.18,1.57,12.76,11.49,67.02,0.03
0.44,8.51,0.86,1.26,11.23,58.99,0.0
0.09,4.68,1.83,4.33,5.25,268.67,0.12
2.06,34.67,1.16,7.72,7.38,79.52,0.37
0.05,22.09,0.31,4.88,10.0,105.83,0.0
1.53,27.76,0.93,11.8,5.21,14.92,0.0
1.01,20.29,4.44,1.9,9.47,554.13,0.0
1.12,4.89,0.26,12.01,3.84,117.62,0.03
0.01,33.8,3.91,9.34,4.45,249.17,0.09
3.38,37.28,3.82,4.48,4.73,54.5,3.01
1.81,3.78,2.91,5.3,14.05,84.21,0.01
2.0,18.16,1.2,2.91,12.52,72.0,0.0
2.33,25.96,4.41,3.94,8.52,24.14,0.0
2.79,28.02,2.48,10.82,8.5,130.26,0.02
2.13,26.86,1.03,5.76,0.94,193.79,1.73
2.67,31.8,2.26,10.37,9.78,21.52,0.01
1.57,43.57,1.14,7.81,4.99,5.81,0.0
1.3,18.8,2.0,2.35,9.22,145.74,0.0
2.88,25.93,2.58,7.59,12.62,38.44,0.0
3.03,32.06,1.93,11.4,0.78,81.32,0.49
0.48,27.47,3.35,4.61,9.15,120.85,0.0
1.9,18.63,4.69,9.79,8.51,37.47,0.0
2.39,28.84,1.87,3.15,3.18,182.85,2.87
0.29,29.95,1.91,2.21,9.73,91.46,0.02
3.25,27.15,3.74,5.53,8.37,200.98,0.09
1.82,10.82,2.75,5.96,11.53,160.73,0.07
2.26,23.76,2.26,11.46,1.75,165.55,0.0
0.62,40.03,4.11,7.01,6.71,1.56,0.0
0.93,39.35,4.48,1.4,14.97,24.73,0.0
0.42,34.28,3.03,9.58,10.37,9.75,0.0
0.92,31.98,1.09,7.14,10.3,43.26,0.11
1.72,8.59,2.44,5.11,4.84,228.37,1.3
2.92,21.76,2.62,12.07,1.5,54.48,0.0
1.87,6.77,2.27,2.48,14.25,209.11,0.06
0.86,37.14,1.46,13.72,1.67,25.83,0.07
0.16,14.51,2.47,5.14,14.89,42.63,0.0
2.18,34.98,2.34,7.02,1.97,229.68,1.3
1.47,37.03,1.21,13.95,2.65,66.01,0.0
3.45,40.38,4.54,11.47,4.69,164.45,0.92
2.73,34.41,4.45,1.3,7.73,29.81,3.02
2.83,26.28,3.85,8.76,11.88,347.2,0.08
0.04,27.72,2.12,4.79,14.57,88.17,0.0
2.72,15.79,1.98,7.73,5.45,114.32,1.51
0.68,9.61,3.64,11.2,0.4,10.76,0.0
2.05,7.62,3.12,7.54,9.29,72.93,0.03
1.57,9.83,3.08,1.25,10.69,204.13,0.03
2.0,42.16,0.8,8.04,6.02,220.65,0.94
0.47,9.07,3.17,0.56,2.83,5.5,0.0
1.6,33.12,4.53,5.36,4.66,43.82,0.02
0.13,9.94,0.61,7.27,9.87,70.1,0.04
0.14,43.94,1.83,9.74,7.46,15.57,0.0
2.3,17.76,2.64,7.69,11.18,115.34,0.0
3.33,19.72,3.49,2.45,3.35,14.18,3.45
2.72,19.39,0.63,14.0,12.65,33.08,0.03
1.64,37.11,4.39,9.82,2.42,125.73,0.07
0.2,11.39,0.39,4.89,5.02,55.58,0.0
0.16,37.73,4.32,14.5,8.91,134.06,0.0
0.55,30.25,0.33,13.26,11.08,333.48,0.01
3.42,11.47,0.94,2.32,4.07,13.57,4.12
1.4,4.81,4.04,9.9,14.23,91.34,0.0
2.95,35.32,4.33,8.49,10.62,21.24,0.0
2.47,11.42,4.91,3.05,3.34,48.0,1.87
2.12,40.23,0.76,3.66,10.91,2.83,0.02
3.32,7.58,2.73,8.54,10.48,17.75,0.01
0.81,28.5,0.57,4.96,11.31,43.42,0.08
1.59,31.76,0.95,12.56,13.75,38.31,0.01
3.03,30.28,1.04,1.65,10.7,265.05,0.0
1.93,15.59,0.5,13.73,5.34,113.32,0.0
0.86,39.65,4.49,12.64,11.88,393.16,0.0
0.73,35.1,0.81,11.13,10.47,69.74,0.0
2.64,23.94,3.22,4.09,8.66,30.15,0.0
0.04,27.94,3.2,10.78,5.37,35.79,0.06
3.2,26.35,1.15,6.69,13.82,26.75,0.0
0.06,42.71,4.99,9.58,7.74,31.33,0.02
2.21,40.55,1.87,4.83,9.46,97.17,0.0
2.12,12.13,4.54,12.57,6.29,81.41,0.0
2.02,13.3,4.75,0.8,11.73,32.78,0.06
1.66,44.2,4.76,10.43,5.18,16.51,0.01
2.98,12.17,3.81,12.46,12.18,2.36,0.0
2.31,43.0,1.42,9.77,1.71,25.17,0.0
2.74,29.94,0.78,3.04,10.66,12.31,0.04
0.4,4.15,2.94,4.42,7.21,113.29,0.02
0.17,16.44,1.93,7.82,10.51,11.69,0.05
0.1,22.47,4.19,5.08,8.02,153.29,0.0
0.52,37.82,3.78,0.27,2.1,48.4,0.05
2.33,16.13,1.53,0.8,7.21,7.57,2.97
1.73,15.35,0.28,11.56,14.47,178.94,0.01
2.63,41.57,1.34,1.44,11.35,71.78,0.01
0.67,5.4,2.92,13.93,4.57,28.15,0.0
1.28,25.72,0.58,6.75,14.17,264.5,0.0
3.11,23.68,3.36,11.42,11.71,2.95,0.0
3.28,4.47,3.42,2.06,5.53,25.87,3.63
3.23,5.77,1.01,13.91,9.09,105.99,0.02
2.86,18.42,3.06,0.7,6.46,111.37,3.88
2.41,7.77,3.11,0.82,1.54,38.83,2.91
3.2,22.56,2.49,1.01,12.11,7.17,0.07
2.5,28.18,4.78,1.73,2.95,226.62,3.11
3.34,31.73,0.72,7.41,6.92,44.78,2.49
0.09,25.5,2.15,11.87,10.57,19.52,0.0
3.23,18.33,4.44,4.42,13.99,74.07,0.0
1.95,7.58,2.05,11.24,1.03,207.86,0.05
0.39,12.64,2.24,11.66,5.96,3.73,0.0
0.75,20.04,3.41,13.64,9.26,128.73,0.03
2.98,41.74,3.39,2.41,11.71,91.1,0.09
1.77,10.71,0.31,2.21,13.82,51.45,0.03
3.44,19.77,2.39,2.01,0.11,151.88,4.5
0.41,33.49,1.8,5.52,9.45,362.41,0.0
1.44,32.32,3.21,7.44,0.2,16.72,0.01
1.16,43.52,2.87,7.03,11.83,15.58,0.05
1.81,10.21,3.32,4.0,2.33,217.14,1.5
2.22,2.71,3.34,9.41,13.43,99.68,0.05
2.32,15.86,1.42,5.21,2.41,64.36,1.64
0.0,8.44,1.38,5.62,11.49,81.4,0.01
0.31,25.58,1.98,1.76,4.41,158.37,0.07
0.12,40.65,1.36,8.97,8.4,156.32,0.0
3.03,31.59,3.48,9.9,9.17,242.08,0.0
1.1,7.84,3.09,11.42,3.18,60.05,0.0
1.28,6.99,1.24,13.58,4.55,22.67,0.03
1.58,41.19,4.44,11.54,1.7,65.95,0.0
2.97,22.97,2.41,3.69,0.18,36.52,2.89
0.05,41.72,0.81,3.69,3.67,80.39,0.01
0.42,33.66,1.22,13.74,7.79,41.95,0.0
2.4,44.71,2.79,11.89,10.73,20.19,0.0
3.37,39.46,1.82,11.78,11.92,60.38,0.0
2.25,19.81,4.29,10.85,1.14,120.25,0.01
0.91,34.6,2.57,4.15,4.16,127.81,0.0
1.82,22.26,4.59,12.74,11.58,55.85,0.0
3.41,12.02,0.69,2.31,7.26,14.98,4.28
1.85,12.36,3.41,5.38,2.81,56.01,0.44
1.31,19.08,4.45,5.33,5.94,140.71,0.01
1.34,6.79,1.61,8.49,4.12,49.95,0.0
3.38,9.64,0.85,7.06,0.85,117.13,2.85
2.52,23.53,2.39,7.01,11.48,76.96,0.0
2.41,43.02,4.81,8.39,4.45,18.88,0.0
0.81,26.84,3.24,6.35,14.18,173.71,0.04
1.96,19.57,3.29,3.9,13.33,8.49,0.0
1.25,12.44,3.42,10.03,10.77,76.51,0.0
0.84,10.42,0.39,11.9,4.97,19.33,0.02
3.13,30.31,2.34,7.29,4.27,6.06,1.7
1.34,38.48,0.57,9.81,7.18,53.65,0.0
0.99,19.15,1.72,8.12,5.38,83.95,0.08
3.26,25.68,4.14,1.07,13.53,113.61,0.0
0.69,32.39,3.35,6.46,1.94,166.96,0.0
2.61,4.51,4.98,0.35,10.89,119.89,0.04
2.28,17.09,1.03,10.0,9.2,40.08,0.0
3.22,33.38,2.11,7.72,12.11,93.08,0.06
2.91,31.44,4.09,2.08,8.18,56.22,0.02
2.47,4.29,1.24,8.22,9.48,63.96,0.01
1.1,12.23,0.94,13.5,14.44,101.58,0.0
1.73,31.24,2.25,5.24,1.47,312.42,1.53
3.31,13.67,2.04,14.74,1.66,21.28,0.0
0.08,37.02,4.9,14.4,5.96,230.3,0.0
2.78,3.27,2.39,11.82,7.14,6.72,0.06
0.88,10.18,4.33,12.24,3.08,29.33,0.0
0.65,14.1,4.46,6.28,1.33,37.18,0.03
0.81,41.79,0.96,6.16,0.43,96.08,0.05
0.21,36.24,3.63,14.33,11.49,17.03,0.0
3.47,40.02,1.53,5.62,7.33,240.23,3.91
3.04,20.94,0.65,1.63,12.67,215.87,0.0
1.82,37.37,4.4,2.46,5.48,103.47,1.4
2.5,38.7,1.6,10.71,10.58,46.1,0.0
1.95,19.2,1.86,5.87,7.38,251.24,1.47
2.84,44.76,1.76,3.15,9.22,187.07,0.01
2.96,38.6,1.16,12.24,5.62,75.46,0.16
0.81,43.89,2.29,7.43,1.31,76.28,0.05
1.61,39.26,2.26,8.6,14.22,77.87,0.0
2.22,35.38,2.16,2.48,12.56,68.26,0.0
3.42,42.59,4.6,3.05,4.75,46.25,3.32
2.39,20.05,1.83,2.06,14.38,44.7,0.0
3.14,35.68,0.35,7.82,4.58,8.35,1.96
2.96,11.15,1.06,11.68,6.7,34.86,0.29
2.04,33.51,3.66,11.04,11.35,100.23,0.0
3.13,35.77,3.04,4.07,4.7,364.29,4.17
1.32,32.81,4.77,12.8,4.94,255.0,0.0
1.33,38.54,3.53,1.76,6.21,55.7,0.9
2.73,19.77,1.13,1.89,7.08,62.62,3.57
0.47,25.43,0.78,12.77,1.94,19.11,0.06
1.07,2.46,2.7,3.82,0.36,120.25,0.22
2.13,8.28,3.39,10.68,13.8,6.04,0.0
1.47,29.7,1.0,0.33,5.36,34.87,1.96
3.29,26.18,3.09,1.59,1.62,73.54,4.12
3.35,10.49,4.35,9.22,11.41,42.36,0.0
1.76,12.47,3.69,2.9,4.5,5.71,0.9
1.89,16.8,3.39,0.62,2.81,216.88,2.75
2.54,32.81,3.99,7.11,14.44,44.11,0.02
1.6,28.22,0.7,5.09,13.82,5.49,0.06
0.67,4.99,1.18,12.07,1.68,6.74,0.08
2.61,34.68,0.38,12.32,13.5,31.14,0.0
2.58,13.29,0.9,9.29,13.37,13.91,0.03
0.86,30.89,4.58,4.54,9.55,121.59,0.0
2.92,7.3,1.27,7.03,7.99,27.19,1.81
2.15,44.91,3.38,10.59,3.34,147.1,0.0
0.83,5.45,3.52,1.23,1.91,18.3,0.14
2.28,33.89,3.3,5.12,9.13,51.31,0.07
0.82,25.28,2.86,12.37,12.35,75.23,0.0
0.93,5.7,2.53,6.21,10.36,111.68,0.0
2.97,3.15,2.22,9.45,2.79,59.0,0.95
3.25,17.59,4.6,1.63,4.42,312.92,4.5
0.9,36.5,0.25,11.7,8.24,19.77,0.02
3.25,3.77,0.46,1.69,9.41,69.77,0.0
0.84,32.29,2.56,12.95,1.18,191.43,0.0
0.41,30.18,1.79,1.78,9.25,5.4,0.12
0.2,13.42,2.16,13.39,11.07,5.24,0.0
0.85,5.33,4.99,5.58,2.8,24.91,0.02
1.35,41.36,3.92,9.44,3.77,114.13,0.0
3.25,14.92,4.41,12.73,3.96,32.07,0.0
0.85,6.79,1.97,0.35,14.1,14.29,0.0
1.28,31.31,1.35,4.13,6.16,46.32,0.32
2.57,11.32,3.89,13.64,8.01,77.55,0.1
1.06,22.45,4.08,5.95,10.89,19.98,0.0
2.4,4.17,2.84,10.65,5.63,32.26,0.0
1.51,44.7,4.5,2.27,1.67,115.58,1.13
0.69,21.25,4.84,10.24,9.85,272.8,0.0
2.57,44.96,2.46,1.28,10.04,120.33,0.06
0.09,18.58,1.27,10.82,3.98,158.29,0.03
1.02,16.96,2.68,4.99,0.62,51.9,0.0
1.25,41.33,4.95,7.09,10.01,24.1,0.0
1.6,16.17,1.61,2.66,10.58,65.32,0.02
2.38,20.58,3.16,9.49,0.49,189.99,0.38
1.61,5.36,3.53,5.2,10.43,44.61,0.0
2.08,43.08,1.23,5.87,14.09,156.86,0.0
2.09,5.66,3.02,9.85,2.76,541.96,1.21
1.31,35.16,1.71,2.85,7.87,8.18,0.64
3.27,25.16,4.3,12.81,10.48,3.71,0.1
3.35,4.64,3.63,11.14,3.53,15.65,0.41
2.04,2.07,4.17,8.75,11.3,42.23,0.0
0.25,42.23,1.16,2.1,13.03,12.94,0.0
1.72,33.91,0.37,10.37,12.24,172.08,0.0
0.65,31.52,4.28,0.47,3.96,1.86,0.02
1.69,20.86,2.06,12.11,12.08,39.14,0.0
0.66,12.26,1.06,4.7,6.26,22.32,0.0
2.46,31.23,0.64,1.93,4.07,308.37,4.07
0.28,28.16,2.68,2.63,2.6,79.98,0.0
3.34,33.23,0.92,14.45,13.64,272.15,0.06
0.68,17.73,2.92,11.65,6.46,280.39,0.03
2.31,44.44,3.69,3.72,13.0,60.78,0.05
3.21,4.88,2.77,14.46,2.48,31.14,0.04
0.87,5.43,4.54,2.27,11.53,19.39,0.0
3.27,41.43,0.95,11.06,1.74,18.85,0.92
1.36,29.85,2.57,9.92,0.36,89.41,0.05
3.36,16.03,0.98,12.36,14.93,3.76,0.08
3.4,34.76,4.4,5.85,1.2,5.71,2.13
0.66,21.47,4.67,6.15,6.98,114.61,0.13
2.91,2.91,2.12,9.44,13.19,112.86,0.0
0.68,30.0,1.67,6.09,12.31,126.06,0.0
0.79,12.45,1.54,0.81,7.12,49.99,0.8
0.29,6.96,4.33,11.0,9.2,190.65,0.01
0.55,11.69,3.48,9.69,9.48,51.52,0.1
2.21,22.47,4.43,6.47,1.74,13.19,0.27
1.57,4.14,0.76,4.68,4.35,138.11,1.14
2.77,39.98,2.48,4.95,4.58,360.47,3.42
1.16,26.08,3.45,11.17,5.73,4.18,0.02
3.39,14.6,4.51,10.99,4.18,52.41,0.51
0.17,31.54,2.03,12.32,3.85,71.38,0.02
0.22,36.58,1.7,11.48,5.39,19.37,0.0
2.45,28.4,4.58,11.42,5.75,219.97,0.0
3.11,10.71,0.43,3.93,7.36,28.67,3.38
2.78,6.74,2.5,1.7,2.69,146.92,3.66
1.71,38.98,2.4,11.47,11.85,94.28,0.0
0.94,12.09,0.9,1.66,12.92,68.05,0.0
0.05,2.86,2.1,14.74,3.8,16.6,0.03
1.78,29.64,3.67,13.15,1.94,19.0,0.05
1.66,8.57,1.96,8.1,10.86,4.64,0.02
1.2,44.61,1.69,5.41,13.87,32.2,0.02
2.02,39.4,3.95,8.0,0.62,49.71,0.0
2.55,28.16,4.95,11.07,0.32,118.64,0.0
2.45,37.86,3.94,11.39,2.83,30.92,0.0
0.92,22.23,4.26,1.29,10.3,109.0,0.0
2.05,35.9,4.71,12.11,14.48,45.25,0.0
0.52,29.8,4.05,9.69,11.28,105.47,0.0
0.43,3.23,4.91,0.8,8.64,322.16,0.04
2.75,42.8,3.79,4.83,10.54,26.87,0.0
2.43,39.02,3.38,7.76,3.54,193.14,0.96
2.69,43.0,3.53,2.99,10.36,92.7,0.0
0.53,33.45,4.52,2.5,4.89,141.35,0.04
3.2,19.72,3.48,0.41,3.41,110.74,4.42
0.47,10.9,3.85,13.69,3.62,61.87,0.0
3.05,9.74,1.24,1.03,10.05,21.64,0.03
1.23,8.23,4.58,5.62,11.53,4.94,0.0
0.37,11.49,2.35,3.25,8.77,61.83,0.0
1.0,25.68,0.97,11.17,1.05,330.13,0.0
0.64,31.4,4.04,10.67,0.67,121.64,0.0
1.72,15.5,1.91,12.13,3.34,28.66,0.01
3.32,25.6,1.08,9.33,4.37,158.96,2.08
1.15,16.67,1.43,8.96,6.13,111.58,0.0
2.14,31.95,0.37,6.23,1.23,35.38,1.09
3.12,44.5,0.63,9.62,10.9,0.93,0.04
2.21,31.63,3.04,1.91,10.7,12.07,0.0
1.27,4.54,4.36,10.33,5.27,153.34,0.04
3.47,22.52,2.35,1.74,8.49,114.22,0.0
0.66,35.13,3.21,12.95,1.6,40.13,0.0
1.83,25.32,4.09,7.68,6.29,34.57,0.03
2.79,42.9,1.91,8.05,12.88,108.45,0.06
0.0,4.36,3.34,8.86,9.94,284.61,0.0
2.46,14.52,1.88,11.69,1.65,150.1,0.0
0.93,11.49,3.29,7.28,12.73,84.81,0.03
0.59,35.01,1.24,6.53,10.24,24.45,0.08
0.96,24.52,4.89,4.47,6.85,86.37,0.01
3.38,7.95,0.57,2.09,10.41,20.63,0.0
3.12,14.28,2.63,3.02,2.68,143.08,3.62
0.75,24.47,1.57,0.21,8.3,40.41,0.01
0.41,44.83,3.08,13.07,9.31,195.34,0.02
1.27,17.66,2.26,11.52,13.92,56.49,0.0
2.07,8.74,1.67,3.44,1.1,197.38,2.31
3.04,23.37,1.4,0.24,5.68,44.79,4.42
3.38,15.34,1.08,7.48,14.06,70.6,0.0
2.63,26.34,3.96,6.31,3.34,99.86,1.37
2.1,22.07,1.27,11.68,12.22,7.85,0.0
0.5,31.65,3.91,6.16,0.12,359.63,0.06
0.26,41.31,2.53,12.99,0.49,54.06,0.0
2.09,10.62,0.55,1.62,4.98,71.41,2.81
1.89,37.31,0.99,5.61,11.55,195.62,0.03
2.96,42.82,4.49,14.02,1.65,236.18,0.0
1.13,18.07,3.09,0.37,5.8,85.38,1.3
0.14,6.89,1.08,5.98,2.06,296.41,0.08
1.48,37.34,3.58,4.04,3.43,7.98,0.1
3.39,32.15,4.15,8.07,7.59,11.41,1.56
2.78,11.15,1.79,4.33,4.86,57.6,2.56
0.12,21.14,2.87,13.07,3.26,27.82,0.07
3.06,26.85,1.61,14.07,5.96,59.54,0.01
1.65,9.3,0.58,12.77,10.55,35.35,0.0
1.28,32.74,2.12,6.1,1.88,46.61,0.09
1.21,31.66,3.81,14.85,7.25,150.17,0.04
2.08,40.15,2.4,11.08,4.19,105.86,0.0
1.86,26.39,2.15,5.46,5.74,500.41,2.47
2.3,26.7,1.96,1.59,12.34,176.15,0.0
2.01,28.63,2.4,10.07,13.95,37.32,0.01
0.5,13.77,1.73,10.98,3.72,28.46,0.06
0.9,34.62,3.14,2.01,9.49,36.67,0.0
2.94,30.49,0.51,8.34,10.18,200.66,0.0
2.32,38.08,4.08,14.81,12.65,2.91,0.0
1.57,35.05,1.03,5.03,13.5,21.59,0.0
0.64,29.46,3.24,4.67,7.07,162.6,0.0
0.03,8.92,2.36,13.57,14.74,80.44,0.0
1.09,41.52,3.91,1.94,14.57,18.21,0.0
0.19,17.79,4.17,14.02,7.65,19.92,0.06
1.69,43.46,1.18,11.74,8.18,155.98,0.0
2.88,19.28,3.45,5.98,10.05,226.32,0.0
1.0,8.28,1.11,1.44,5.67,35.45,0.87
2.97,40.05,0.8,0.48,9.96,56.64,0.0
2.47,36.19,4.67,5.76,7.76,212.57,1.57
0.44,35.81,0.99,10.64,0.63,161.64,0.0
2.26,5.84,1.3,7.42,12.81,178.76,0.0
0.53,39.81,0.83,11.13,14.11,64.03,0.05
2.29,27.65,2.46,10.12,0.49,199.66,0.2
0.5,22.23,4.61,8.68,11.86,44.71,0.01
1.37,41.27,1.47,14.52,5.85,19.91,0.05
1.98,30.64,2.8,10.98,8.83,110.88,0.04
0.18,7.72,2.18,13.74,7.55,49.25,0.0
0.54,24.34,1.81,3.78,8.31,212.4,0.03
1.12,29.37,2.95,10.76,7.48,6.77,0.03
1.62,40.64,2.88,9.05,12.82,118.02,0.02
3.0,14.04,1.92,13.88,10.28,38.5,0.05
0.66,36.15,4.28,7.75,6.25,99.77,0.04
1.22,36.39,0.46,4.34,10.36,4.25,0.04
1.67,7.51,0.61,5.9,14.48,110.44,0.07
1.04,2.74,4.96,3.44,1.3,120.26,0.0
2.19,27.0,3.79,3.46,5.88,42.76,1.49
0.9,35.95,4.06,7.16,13.07,19.48,0.04
2.7,25.84,3.09,13.41,11.11,62.61,0.0
1.77,36.97,2.22,3.04,14.03,197.71,0.02
0.3,28.76,3.22,4.46,0.69,35.07,0.0
2.19,30.09,0.64,12.82,12.96,21.16,0.0
